Department,Headcount,Attrition_Rate,Salary,Activity,Hours
HR,45,8,42000,Work,8
HR,45,8,45000,Work,8
HR,45,8,47000,Work,8
HR,45,8,44000,Work,8
IT,120,18,65000,Sleep,8
IT,120,18,70000,Sleep,8
IT,120,18,72000,Sleep,8
IT,120,18,68000,Sleep,8
Sales,90,22,52000,Leisure,4
Sales,90,22,55000,Leisure,4
Sales,90,22,57000,Leisure,4
Sales,90,22,54000,Leisure,4
Finance,60,10,62000,Exercise,2
Finance,60,10,65000,Exercise,2
Finance,60,10,67000,Exercise,2
Finance,60,10,64000,Exercise,2
Marketing,75,15,47000,Meals,2
Marketing,75,15,50000,Meals,2
Marketing,75,15,52000,Meals,2
Marketing,75,15,49000,Meals,2
Operations,110,20,58000,Personal,16
Operations,110,20,60000,Personal,16
Operations,110,20,62000,Personal,16
Operations,110,20,59000,Personal,16
