Temperature,Density
21.5,0.0725
21.7,0.0819
21.9,0.0912
22.1,0.1004
22.3,0.1092
22.5,0.1175
22.7,0.1252
22.9,0.1318
23.1,0.1372
23.3,0.1411
23.5,0.1435
23.7,0.1447
23.9,0.1447
24.1,0.1437
24.3,0.1418
24.5,0.1391
24.7,0.1358
24.9,0.1319
25.1,0.1276
25.3,0.1230
25.5,0.1182
25.7,0.1132
25.9,0.1082
26.1,0.1032
26.3,0.0982
26.5,0.0933
26.7,0.0885
26.9,0.0838
27.1,0.0792
27.3,0.0747
27.5,0.0703
27.7,0.0660
27.9,0.0618
28.1,0.0577
28.3,0.0538
28.5,0.0500
28.7,0.0464
28.9,0.0430
29.1,0.0397
29.3,0.0367
29.5,0.0339
